Cory Joseph,0.4,0.650636492221,-1,0.663660955816,2015-2016,TOR,56,SG,24,80,4,2046,257,585,0.439,30,110,0.273,227,475,0.478,0.465,133,174,0.764,39,171,210,250,63,20,102,131,677,
Dwyane Wade,0.762711864407,0.29774890322,0.243644067797,0.674909446593,2015-2016,MIA,48,SG,34,74,73,2258,540,1183,0.456,7,44,0.159,533,1139,0.468,0.459,322,406,0.793,82,220,302,344,79,42,203,116,1409,
Enes Kanter,2.5,-1,-1,0.207394048693,2015-2016,OKC,55,C,23,82,1,1721,414,719,0.576,10,21,0.476,404,698,0.579,0.583,200,251,0.797,249,415,664,33,26,33,115,166,1038,
Eric Gordon,-1,-1,1.796875,0.777727682597,2015-2016,NOP,30,SG,27,45,44,1481,231,552,0.418,113,294,0.384,118,258,0.457,0.521,111,125,0.888,10,89,99,121,43,14,73,98,686,
Evan Turner,0.230769230769,0.45044064846,1.84294871795,0.382881320663,2015-2016,BOS,48,SG,27,81,12,2271,343,753,0.456,20,83,0.241,323,670,0.482,0.469,148,179,0.827,50,347,397,359,80,28,169,139,854,
Gary Harris,0.75,0.975954738331,1.19791666667,-1,2015-2016,DEN,33,SG,21,76,76,2439,359,765,0.469,105,297,0.354,254,468,0.543,0.538,109,133,0.82,54,166,220,147,97,18,98,143,932,
Ian Mahinmi,-1,1.95190947666,-1,-1,2015-2016,IND,45,C,29,71,71,1816,264,448,0.589,0,0,,264,448,0.589,0.589,132,225,0.587,138,369,507,104,65,75,100,220,660,
Jae Crowder,-1,-1,-1,1.24436429216,2015-2016,BOS,48,SF,25,73,73,2308,360,813,0.443,122,363,0.336,238,450,0.529,0.518,196,239,0.82,70,303,373,135,126,35,83,198,1038,
Jason Terry,-1,1.35132194538,1.10576923077,0.0957203301658,2015-2016,HOU,41,SG,38,72,7,1258,151,376,0.402,93,261,0.356,58,115,0.504,0.525,27,33,0.818,14,65,79,103,47,9,49,91,422,
Jeremy Lamb,-1,0.650636492221,-1,0.82957619477,2015-2016,CHO,48,SG,23,66,0,1227,230,510,0.451,56,181,0.309,174,329,0.529,0.506,64,88,0.727,44,208,252,77,42,30,50,105,580,
